Age,Debt,Married,BankCustomer,EducationLevel,YearEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,Income,Approved
18.67,5.0,u,g,q,0.375,t,t,2,f,g,38,Not_Approved
24.58,13.5,y,p,ff,0.0,f,f,0,f,g,0,Not_Approved
37.5,1.75,y,p,c,0.25,t,f,0,t,g,400,Not_Approved
22.92,1.25,u,g,q,0.25,f,f,0,t,g,809,Not_Approved
15.75,0.375,u,g,c,1.0,f,f,0,f,g,18,Not_Approved
30.17,0.5,u,g,c,1.75,t,t,11,f,g,540,Approved
28.25,0.875,u,g,m,0.96,t,t,3,t,g,0,Approved
23.17,0.0,u,g,cc,0.085,t,f,0,f,g,0,Approved
44.17,6.665,u,g,q,7.375,t,t,3,t,g,0,Approved
40.58,1.5,u,g,i,0.0,f,f,0,f,s,0,Not_Approved
57.58,2.0,u,g,ff,6.5,f,t,1,f,g,10,Not_Approved
19.67,0.21,u,g,q,0.29,t,t,11,f,g,99,Approved
30.58,10.665,u,g,q,0.085,f,t,12,t,g,3,Not_Approved
17.67,4.46,u,g,c,0.25,f,f,0,f,s,0,Not_Approved
64.08,0.165,u,g,ff,0.0,t,t,1,f,g,100,Approved
32.25,1.5,u,g,c,0.25,f,f,0,t,g,122,Not_Approved
19.75,0.75,u,g,c,0.795,t,t,5,t,g,5,Not_Approved
22.67,0.75,u,g,c,2.0,f,t,2,t,g,394,Not_Approved
17.08,0.25,u,g,q,0.335,f,t,4,f,g,8,Not_Approved
28.58,3.625,u,g,aa,0.25,f,f,0,t,g,0,Not_Approved
20.83,0.5,y,p,e,1.0,f,f,0,f,g,0,Not_Approved
24.83,2.75,u,g,c,2.25,t,t,6,f,g,600,Approved
51.83,2.04,y,p,ff,1.5,f,f,0,f,g,1,Not_Approved
38.92,1.665,u,g,aa,0.25,f,f,0,f,g,390,Not_Approved
27.67,2.04,u,g,w,0.25,f,f,0,t,g,50,Not_Approved
35.0,3.375,u,g,c,8.29,f,f,0,t,g,0,Not_Approved
38.58,3.335,u,g,w,4.0,t,t,14,f,g,1344,Approved
39.17,1.71,u,g,x,0.125,t,t,5,t,g,0,Approved
18.83,0.415,y,p,c,0.165,f,t,1,f,g,1,Not_Approved
25.67,12.5,u,g,cc,1.21,t,t,67,t,g,258,Approved
41.17,6.5,u,g,q,0.5,t,t,3,t,g,0,Approved
29.25,14.79,u,g,aa,5.04,t,t,5,t,g,0,Approved
36.67,4.415,y,p,k,0.25,t,t,10,t,g,0,Approved
45.17,1.5,u,g,c,2.5,t,f,0,t,g,0,Not_Approved
29.67,1.415,u,g,w,0.75,t,t,1,f,g,100,Approved
29.5,0.58,u,g,w,0.29,f,t,1,f,g,2803,Not_Approved
27.33,1.665,u,g,ff,0.0,f,f,0,f,g,1,Not_Approved
17.33,9.5,u,g,aa,1.75,f,t,10,t,g,10,Not_Approved
29.92,1.835,u,g,c,4.335,t,f,0,f,g,200,Approved
33.08,4.625,u,g,q,1.625,t,t,2,f,g,0,Approved
13.75,4.0,y,p,w,1.75,t,t,2,t,g,1000,Approved
25.17,3.5,u,g,cc,0.625,t,t,7,f,g,7059,Approved
28.5,1.0,u,g,q,1.0,t,t,2,t,g,500,Not_Approved
64.08,20.0,u,g,x,17.5,t,t,9,t,g,1000,Approved
36.0,1.0,u,g,c,2.0,t,t,11,f,g,456,Approved
27.67,13.75,u,g,w,5.75,t,f,0,t,g,500,Approved
25.75,0.5,u,g,c,1.46,t,t,5,t,g,0,Approved
30.0,5.29,u,g,e,2.25,t,t,5,t,g,500,Approved
18.0,0.165,u,g,q,0.21,f,f,0,f,g,40,Approved
20.42,7.0,u,g,c,1.625,t,t,3,f,g,1391,Approved
23.92,1.5,u,g,d,1.875,t,t,6,f,g,327,Approved
22.0,0.79,u,g,w,0.29,f,t,1,f,g,283,Not_Approved
49.58,19.0,u,g,ff,0.0,t,t,1,f,g,0,Not_Approved
34.0,4.5,u,g,aa,1.0,t,f,0,t,g,0,Not_Approved
25.0,12.5,u,g,aa,3.0,t,f,0,t,s,0,Approved
20.75,9.54,u,g,i,0.04,f,f,0,f,g,1000,Not_Approved
69.5,6.0,u,g,ff,0.0,f,f,0,f,s,0,Not_Approved
42.5,4.915,y,p,w,3.165,t,f,0,t,g,1442,Approved
31.83,2.5,u,g,aa,7.5,t,f,0,t,g,0,Not_Approved
19.5,0.165,u,g,q,0.04,f,f,0,t,g,0,Not_Approved
48.08,3.75,u,g,i,1.0,f,f,0,f,g,2,Not_Approved
27.25,1.665,u,g,cc,5.085,t,t,9,f,g,827,Approved
24.75,3.0,u,g,q,1.835,t,t,19,f,g,500,Approved
21.67,11.5,y,p,j,0.0,t,t,11,t,g,0,Approved
23.58,0.83,u,g,q,0.415,f,t,1,t,g,11,Not_Approved
52.42,1.5,u,g,d,3.75,f,f,0,t,g,350,Not_Approved
19.5,9.585,u,g,aa,0.79,f,f,0,f,g,350,Not_Approved
22.67,0.335,u,g,q,0.75,f,f,0,f,s,0,Not_Approved
18.42,10.415,y,p,aa,0.125,t,f,0,f,g,375,Not_Approved
24.42,2.0,u,g,e,0.165,f,t,2,f,g,1300,Not_Approved
20.25,9.96,u,g,e,0.0,t,f,0,f,g,0,Approved
27.83,1.0,y,p,d,3.0,f,f,0,f,g,537,Not_Approved
44.25,11.0,y,p,d,1.5,t,f,0,f,s,0,Not_Approved
80.25,5.5,u,g,,0.54,t,f,0,f,g,340,Not_Approved
26.0,1.0,u,g,q,1.75,t,f,0,t,g,0,Approved
30.17,1.085,y,p,c,0.04,f,f,0,f,g,179,Not_Approved
30.75,1.585,u,g,d,0.585,f,f,0,t,s,0,Not_Approved
24.5,0.5,u,g,q,1.5,t,f,0,f,g,824,Approved
76.75,22.29,u,g,e,12.75,t,t,1,t,g,109,Approved
33.17,2.25,y,p,cc,3.5,f,f,0,t,g,141,Not_Approved
49.17,2.29,u,g,ff,0.29,f,f,0,f,g,3,Not_Approved
20.17,8.17,u,g,aa,1.96,t,t,14,f,g,158,Approved
20.42,0.835,u,g,q,1.585,t,t,1,f,g,0,Approved
37.33,2.5,u,g,i,0.21,f,f,0,f,g,246,Not_Approved
27.25,0.625,u,g,aa,0.455,t,f,0,t,g,0,Not_Approved
16.5,0.125,u,g,c,0.165,f,f,0,f,g,0,Not_Approved
22.25,0.46,u,g,k,0.125,f,f,0,t,g,55,Not_Approved
27.67,0.75,u,g,q,0.165,f,f,0,t,g,251,Not_Approved
36.75,5.125,u,g,e,5.0,t,f,0,t,g,4000,Approved
31.75,3.0,y,p,j,0.0,f,f,0,f,g,20,Not_Approved
16.5,1.25,u,g,q,0.25,f,t,1,f,g,98,Not_Approved
39.92,5.0,u,g,i,0.21,f,f,0,f,g,0,Not_Approved
53.92,9.625,u,g,e,8.665,t,t,5,f,g,0,Approved
42.83,1.25,u,g,m,13.875,f,t,1,t,g,112,Not_Approved
,4.0,y,p,i,0.085,f,f,0,t,g,0,Not_Approved
35.75,0.915,u,g,aa,0.75,t,t,4,f,g,1583,Approved
22.17,0.585,y,p,ff,0.0,f,f,0,f,g,0,Not_Approved
36.33,3.79,u,g,w,1.165,t,f,0,t,g,0,Not_Approved
