custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pmonths,pastEmail,responded,responded_score
31.0,technician,married,,no,yes,no,cellular,aug,thu,3,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,no,83
,blue-collar,married,,unknown,yes,no,cellular,jun,mon,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2,999.0,0,no,2522
26.0,technician,single,professional.course,no,no,no,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no,1110
39.0,blue-collar,married,basic.6y,no,no,no,telephone,may,thu,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,no,3667
40.0,blue-collar,married,,no,yes,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,6503
34.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,0,no,3720
53.0,housemaid,married,basic.6y,unknown,unknown,unknown,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,6676
39.0,entrepreneur,married,,no,no,no,cellular,nov,thu,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,6998
55.0,technician,single,,no,yes,no,cellular,nov,mon,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,999.0,0,no,1045
,blue-collar,married,basic.9y,no,yes,no,telephone,jun,wed,2,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,999.0,0,no,1632
34.0,admin.,single,basic.9y,no,no,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,no,6683
,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,no,6134
42.0,housemaid,married,,no,yes,no,cellular,may,thu,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.27,5099.1,999.0,0,no,2692
28.0,technician,single,professional.course,no,yes,no,telephone,mar,tue,2,999,0,nonexistent,-1.8,92.84299999999999,-50.0,1.556,5099.1,999.0,0,no,1533
25.0,services,single,,no,no,no,cellular,jul,mon,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,4152
,services,married,basic.9y,no,no,no,telephone,may,thu,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,no,6693
40.0,technician,married,professional.course,no,yes,no,telephone,may,wed,3,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,4715
33.0,technician,married,university.degree,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,3782
43.0,technician,married,university.degree,no,no,yes,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,999.0,1,no,3766
,housemaid,single,basic.4y,unknown,no,no,cellular,jul,fri,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,5142
34.0,technician,married,professional.course,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,749
33.0,services,married,high.school,unknown,yes,yes,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,4445
41.0,self-employed,single,university.degree,no,yes,yes,telephone,jun,mon,3,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,999.0,0,no,5634
49.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,7237
32.0,technician,married,high.school,unknown,yes,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,633
,technician,married,professional.course,no,no,no,cellular,sep,tue,1,3,1,success,-3.4,92.37899999999999,-29.8,0.77,5017.5,0.1,0,yes,8139
48.0,blue-collar,married,basic.4y,no,no,yes,cellular,may,thu,2,1,1,success,-1.8,92.89299999999999,-46.2,1.327,5099.1,0.033333333,3,no,7243
34.0,admin.,married,university.degree,no,yes,yes,cellular,nov,wed,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no,3590
,self-employed,single,,no,yes,no,telephone,may,,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,5923
50.0,management,divorced,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,84
33.0,management,single,university.degree,no,yes,no,telephone,may,thu,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,2,no,639
24.0,admin.,single,high.school,no,yes,no,cellular,jul,,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,2628
57.0,management,married,,no,no,no,cellular,jul,tue,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,5100
34.0,technician,married,high.school,no,yes,yes,cellular,nov,thu,2,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,2388
,technician,single,university.degree,no,yes,yes,cellular,jul,mon,4,3,1,success,-1.7,94.215,-40.3,0.8270000000000001,4991.6,0.1,1,no,1190
42.0,blue-collar,single,basic.4y,no,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,no,2055
59.0,blue-collar,married,basic.4y,unknown,yes,yes,telephone,jun,mon,6,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,7016
31.0,blue-collar,single,high.school,no,yes,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,4071
,services,divorced,high.school,no,yes,no,cellular,jul,mon,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,1191
37.0,technician,married,professional.course,no,no,no,telephone,jun,,5,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999.0,0,no,1889
,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,no,841
32.0,blue-collar,married,professional.course,unknown,yes,no,cellular,may,thu,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,4,no,6403
34.0,technician,married,,no,no,no,telephone,may,mon,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,6517
47.0,management,married,,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.344,5099.1,999.0,1,no,1730
,technician,married,high.school,no,no,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.749,-34.6,0.642,5008.7,999.0,0,yes,7763
,blue-collar,married,professional.course,no,yes,yes,telephone,may,thu,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no,4756
,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,mon,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,2126
,services,married,high.school,no,yes,yes,cellular,may,thu,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,no,4246
44.0,admin.,married,high.school,no,yes,no,cellular,jul,mon,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,999.0,0,no,4065
57.0,self-employed,married,unknown,unknown,yes,no,telephone,jun,tue,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,4799
35.0,self-employed,single,,no,yes,no,cellular,nov,wed,3,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,999.0,0,no,6409
,technician,married,professional.course,no,yes,no,cellular,aug,fri,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,2693
,technician,single,professional.course,unknown,yes,no,cellular,apr,mon,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,4001
30.0,services,married,,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,171
32.0,unemployed,single,,no,no,no,cellular,apr,wed,1,999,0,nonexistent,-1.8,93.075,-47.1,1.415,5099.1,999.0,0,yes,7576
,admin.,single,university.degree,no,yes,yes,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,5025
,services,divorced,basic.4y,no,no,yes,cellular,apr,thu,1,999,1,failure,-1.8,93.075,-47.1,1.41,5099.1,999.0,2,yes,7831
,entrepreneur,married,university.degree,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.291,5099.1,999.0,1,no,5355
,admin.,married,high.school,no,yes,no,telephone,jun,thu,1,999,0,nonexistent,1.4,94.465,-41.8,4.8660000000000005,5228.1,999.0,0,no,420
26.0,blue-collar,married,basic.9y,unknown,no,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,534
36.0,services,married,basic.9y,no,no,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,0,no,6480
,retired,married,basic.6y,unknown,no,no,telephone,may,,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,999.0,0,no,1669
29.0,admin.,single,high.school,no,no,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.797,4991.6,999.0,0,yes,8216
,blue-collar,married,basic.4y,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,4975
,admin.,divorced,university.degree,unknown,yes,no,cellular,aug,wed,2,999,0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,999.0,0,no,1408
34.0,admin.,single,university.degree,no,no,no,cellular,jul,tue,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,5559
70.0,retired,married,,no,yes,no,cellular,aug,tue,3,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,0.2,1,yes,7574
43.0,services,single,high.school,unknown,no,no,cellular,nov,fri,6,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,no,4676
32.0,technician,married,university.degree,no,no,no,cellular,jun,,1,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,999.0,0,no,4015
,blue-collar,married,,no,no,no,telephone,may,,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,999.0,0,no,3671
,blue-collar,married,,no,no,no,cellular,jul,,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,3746
35.0,admin.,single,,no,unknown,unknown,cellular,may,fri,2,10,1,success,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,0.333333333,2,yes,7733
32.0,admin.,single,university.degree,unknown,no,no,telephone,may,,3,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,999.0,0,no,6713
29.0,management,single,basic.9y,no,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,2948
27.0,technician,married,professional.course,no,no,yes,cellular,may,fri,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,1,no,7003
35.0,blue-collar,divorced,basic.9y,no,no,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.344,5099.1,999.0,0,no,4452
,blue-collar,married,high.school,no,no,no,telephone,jun,mon,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,3124
34.0,technician,married,,no,no,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999.0,0,no,3880
30.0,blue-collar,married,,no,yes,no,cellular,aug,mon,4,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,999.0,0,no,809
29.0,admin.,single,university.degree,no,no,no,telephone,jun,tue,6,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,3341
,blue-collar,married,basic.9y,no,no,no,telephone,may,,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,7245
,technician,married,professional.course,no,yes,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,5840
35.0,technician,married,,no,yes,no,cellular,jul,thu,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.968,5228.1,999.0,0,no,5024
27.0,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,0,no,7118
30.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,yes,7431
37.0,admin.,married,high.school,no,no,yes,telephone,may,fri,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,3913
27.0,technician,single,university.degree,no,yes,no,cellular,aug,thu,3,999,5,failure,-1.7,94.027,-38.3,0.904,4991.6,999.0,5,no,1313
68.0,management,married,,no,yes,no,cellular,dec,thu,1,999,2,failure,-3.0,92.713,-33.0,0.7120000000000001,5023.5,999.0,12,no,5087
27.0,blue-collar,married,basic.9y,unknown,no,no,telephone,may,mon,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,570
58.0,retired,married,,no,no,no,cellular,nov,fri,1,999,1,failure,-0.1,93.2,-42.0,4.021,5195.8,999.0,1,no,2968
53.0,admin.,married,,no,no,no,cellular,jul,tue,1,999,1,failure,-2.9,92.469,-33.6,1.044,5076.2,999.0,1,yes,7680
32.0,blue-collar,married,basic.6y,unknown,yes,no,telephone,may,fri,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,1031
31.0,admin.,married,high.school,no,yes,no,cellular,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,5283
25.0,entrepreneur,single,high.school,no,yes,no,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,1785
31.0,admin.,married,university.degree,no,no,no,cellular,apr,fri,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,999.0,0,no,4194
25.0,admin.,single,,no,yes,no,cellular,may,tue,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,0,yes,8207
,technician,single,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,4325
76.0,management,married,unknown,no,no,no,cellular,sep,fri,1,999,0,nonexistent,-3.4,92.37899999999999,-29.8,0.8029999999999999,5017.5,999.0,0,yes,7641
29.0,blue-collar,married,basic.9y,no,no,no,cellular,jul,,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,2787
21.0,services,single,high.school,no,yes,no,telephone,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1,999.0,0,no,4854
30.0,technician,single,,no,no,no,cellular,apr,fri,2,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,no,6136
45.0,management,married,university.degree,no,yes,no,cellular,aug,tue,4,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,999.0,0,yes,7438
,services,married,university.degree,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,5729
33.0,housemaid,divorced,professional.course,no,no,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,2297
34.0,technician,married,university.degree,no,yes,no,cellular,apr,thu,2,8,1,success,-1.8,93.075,-47.1,1.365,5099.1,0.26666666699999997,2,no,1830
,blue-collar,married,,no,no,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,no,1732
,admin.,divorced,high.school,no,yes,no,cellular,may,thu,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,5,no,337
,technician,single,professional.course,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.851,5076.2,999.0,0,yes,8086
66.0,retired,married,,unknown,unknown,unknown,cellular,oct,wed,1,6,3,success,-1.1,94.601,-49.5,0.985,4963.6,0.2,9,yes,8083
31.0,technician,married,university.degree,no,yes,yes,cellular,oct,tue,4,6,2,success,-1.1,94.601,-49.5,0.982,4963.6,0.2,4,yes,8128
32.0,admin.,married,high.school,no,no,no,cellular,may,mon,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1,999.0,0,no,4019
28.0,self-employed,single,university.degree,no,yes,no,cellular,may,wed,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1,999.0,0,no,1549
33.0,services,married,high.school,no,no,no,telephone,jun,mon,14,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,999.0,0,no,6126
67.0,retired,divorced,basic.4y,no,yes,no,cellular,oct,tue,1,999,1,failure,-1.1,94.601,-49.5,1.008,4963.6,999.0,2,no,1578
30.0,blue-collar,married,basic.6y,no,yes,no,cellular,jul,,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,175
,management,married,professional.course,no,unknown,unknown,cellular,may,fri,3,999,1,failure,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,999.0,2,no,719
,technician,married,,unknown,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,2774
,admin.,single,,no,no,no,cellular,may,tue,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,2,no,5578
38.0,technician,married,,no,yes,yes,cellular,apr,thu,1,999,0,nonexistent,-1.8,93.075,-47.1,1.406,5099.1,999.0,0,no,6564
,admin.,married,university.degree,no,no,no,telephone,may,wed,1,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,no,6412
48.0,blue-collar,married,,no,no,no,cellular,may,wed,2,999,1,failure,-1.8,92.89299999999999,-46.2,1.334,5099.1,999.0,2,no,6010
39.0,admin.,married,professional.course,no,yes,no,telephone,may,tue,7,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,886
25.0,blue-collar,single,,no,no,no,cellular,may,fri,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,no,7267
29.0,admin.,single,high.school,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,4521
46.0,student,single,unknown,no,yes,no,cellular,jul,fri,5,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,5512
33.0,admin.,married,university.degree,no,yes,no,cellular,mar,thu,1,3,1,success,-1.8,93.369,-34.8,0.65,5008.7,0.1,0,no,496
51.0,blue-collar,married,,no,yes,yes,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.8580000000000005,5191.0,999.0,0,no,18
38.0,services,single,high.school,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no,6880
,services,married,high.school,no,yes,no,cellular,apr,wed,2,999,0,nonexistent,-1.8,93.075,-47.1,1.3719999999999999,5099.1,999.0,0,yes,7376
,entrepreneur,single,university.degree,no,yes,no,cellular,may,fri,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,no,2680
,self-employed,single,,unknown,yes,no,telephone,may,,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,3226
48.0,services,married,,unknown,yes,no,cellular,jul,tue,6,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,1985
36.0,self-employed,divorced,professional.course,unknown,yes,yes,cellular,jul,tue,4,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,2440
33.0,blue-collar,single,,no,yes,no,telephone,may,tue,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,750
32.0,technician,single,high.school,no,yes,yes,cellular,may,mon,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,999.0,0,no,4558
43.0,self-employed,married,,no,yes,no,telephone,oct,wed,1,999,0,nonexistent,-0.1,93.79799999999999,-40.4,4.936,5195.8,999.0,0,yes,7479
43.0,admin.,single,high.school,no,yes,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,no,5655
,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,3,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,999.0,0,no,6400
36.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,wed,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.281,5099.1,999.0,3,no,2145
,services,single,,no,unknown,unknown,telephone,jul,tue,3,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1,999.0,0,no,7188
24.0,admin.,single,high.school,no,no,no,cellular,jun,thu,2,999,1,failure,-2.9,92.963,-40.8,1.26,5076.2,999.0,2,yes,7632
52.0,services,divorced,,unknown,yes,no,telephone,may,wed,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,3582
46.0,blue-collar,married,,no,yes,no,cellular,aug,wed,1,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,999.0,0,no,1186
,technician,single,,unknown,yes,yes,telephone,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.966,5228.1,999.0,0,no,17
,unemployed,married,high.school,no,yes,no,telephone,may,fri,1,999,2,failure,-1.8,93.876,-40.0,0.6990000000000001,5008.7,999.0,2,no,2299
,admin.,single,high.school,no,yes,no,cellular,may,thu,2,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,999.0,0,no,3118
,technician,single,,no,yes,no,cellular,aug,tue,3,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no,3085
54.0,admin.,married,,no,yes,no,telephone,jun,fri,2,999,0,nonexistent,1.4,94.465,-41.8,4.947,5228.1,999.0,0,no,680
,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,1,999,1,failure,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,1,no,953
37.0,blue-collar,married,high.school,no,no,no,cellular,apr,mon,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,999.0,0,yes,7629
,services,single,high.school,no,no,no,cellular,jul,fri,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,5648
29.0,technician,single,professional.course,no,no,no,cellular,aug,,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,2931
,admin.,married,,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,999.0,0,no,5138
46.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,fri,3,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,999.0,0,no,3678
73.0,retired,married,,unknown,no,no,cellular,aug,wed,1,999,0,nonexistent,-2.9,92.20100000000001,-31.4,0.8540000000000001,5076.2,999.0,0,no,1894
42.0,management,married,high.school,no,yes,no,cellular,aug,tue,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,1510
41.0,technician,divorced,university.degree,no,no,no,cellular,mar,thu,1,6,1,success,-1.8,93.369,-34.8,0.635,5008.7,0.2,3,yes,8014
56.0,technician,married,,unknown,yes,no,cellular,nov,fri,6,999,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,999.0,0,no,46
34.0,admin.,divorced,basic.6y,no,no,no,telephone,may,fri,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,3132
36.0,management,married,university.degree,no,yes,yes,cellular,apr,mon,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,999.0,1,no,3596
31.0,blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.963,5228.1,999.0,0,no,3377
,technician,divorced,unknown,no,no,no,telephone,jun,wed,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no,5089
30.0,technician,married,high.school,no,yes,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,2410
40.0,entrepreneur,divorced,university.degree,no,yes,yes,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,999.0,0,no,6804
,technician,married,,no,yes,no,telephone,sep,,5,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999.0,0,no,1277
54.0,housemaid,divorced,,no,yes,no,telephone,may,wed,2,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,999.0,0,no,1983
43.0,housemaid,married,basic.4y,no,no,no,cellular,jul,wed,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,999.0,0,no,1356
,unemployed,married,university.degree,no,no,no,cellular,jul,thu,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.958,5228.1,999.0,0,no,3957
,technician,married,university.degree,no,no,no,cellular,aug,thu,2,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,999.0,0,no,1987
,admin.,divorced,,no,unknown,unknown,telephone,jun,tue,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,999.0,0,no,627
36.0,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,fri,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,999.0,0,no,4984
26.0,admin.,single,,unknown,no,no,telephone,may,fri,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,no,343
53.0,self-employed,married,university.degree,no,yes,no,telephone,may,,10,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,999.0,0,no,4178
34.0,blue-collar,married,basic.4y,no,no,no,cellular,may,thu,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.327,5099.1,999.0,0,no,4359
66.0,retired,married,,no,yes,no,cellular,jul,tue,1,999,0,nonexistent,-1.7,94.215,-40.3,0.835,4991.6,999.0,0,yes,7885
33.0,technician,single,,no,unknown,unknown,cellular,apr,thu,3,999,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,999.0,0,yes,8016
,unemployed,single,,no,no,yes,telephone,may,tue,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,999.0,0,no,4050
35.0,blue-collar,married,basic.9y,no,yes,no,cellular,jul,mon,1,6,2,success,-1.7,94.215,-40.3,0.889,4991.6,0.2,6,yes,7721
35.0,technician,single,professional.course,no,yes,no,cellular,aug,thu,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,999.0,0,no,2502
32.0,admin.,married,,no,yes,no,cellular,sep,mon,1,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,999.0,0,yes,7604
,admin.,married,university.degree,no,no,no,cellular,aug,tue,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,999.0,0,no,1594
